case,path,h_over_L,mesh,status
steady2d_h_0p3_coarse,cases\steady2d_h_0p3_coarse,0.3,coarse,configured
steady2d_h_0p2_coarse,cases\steady2d_h_0p2_coarse,0.2,coarse,configured
steady2d_h_0p15_coarse,cases\steady2d_h_0p15_coarse,0.15,coarse,configured
steady2d_h_0p1_coarse,cases\steady2d_h_0p1_coarse,0.1,coarse,configured
steady2d_h_0p075_coarse,cases\steady2d_h_0p075_coarse,0.075,coarse,configured
steady2d_h_0p05_coarse,cases\steady2d_h_0p05_coarse,0.05,coarse,configured
steady2d_h_0p3_medium,cases\steady2d_h_0p3_medium,0.3,medium,configured
steady2d_h_0p2_medium,cases\steady2d_h_0p2_medium,0.2,medium,configured
steady2d_h_0p15_medium,cases\steady2d_h_0p15_medium,0.15,medium,configured
steady2d_h_0p1_medium,cases\steady2d_h_0p1_medium,0.1,medium,configured
steady2d_h_0p075_medium,cases\steady2d_h_0p075_medium,0.075,medium,configured
steady2d_h_0p05_medium,cases\steady2d_h_0p05_medium,0.05,medium,configured
steady2d_h_0p3_fine,cases\steady2d_h_0p3_fine,0.3,fine,configured
steady2d_h_0p2_fine,cases\steady2d_h_0p2_fine,0.2,fine,configured
steady2d_h_0p15_fine,cases\steady2d_h_0p15_fine,0.15,fine,configured
steady2d_h_0p1_fine,cases\steady2d_h_0p1_fine,0.1,fine,configured
steady2d_h_0p075_fine,cases\steady2d_h_0p075_fine,0.075,fine,configured
steady2d_h_0p05_fine,cases\steady2d_h_0p05_fine,0.05,fine,configured
